Date and time	Type of activity	Item purchased	Number of items	Change in pokecoins	Money spent on purchase	Currency
05/12/2017 07:06:06 UTC	Pokecoin spent for in-game item	POKECOIN		-150
05/12/2017 07:06:06 UTC	In-game item bought	Egg incubator	1	
05/12/2017 07:06:09 UTC	Pokecoin spent for in-game item	POKECOIN		-150
05/12/2017 07:06:09 UTC	In-game item bought	Egg incubator	1	
05/12/2017 07:06:11 UTC	Pokecoin spent for in-game item	POKECOIN		-150
05/12/2017 07:06:11 UTC	In-game item bought	Egg incubator	1	
05/17/2017 12:30:03 UTC	Pokecoin spent for in-game item	POKECOIN		-100
05/17/2017 12:30:03 UTC	In-game item bought	Diagonal Tee	1	
05/19/2017 20:34:37 UTC	Pokecoin spent for in-game item	POKECOIN		-150
05/19/2017 20:34:37 UTC	In-game item bought	Egg incubator	1	
05/28/2017 09:24:32 UTC	Pokecoin spent for in-game item	POKECOIN		-150
05/28/2017 09:24:32 UTC	In-game item bought	Egg incubator	1	
06/03/2017 09:01:30 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/03/2017 09:01:30 UTC	In-game item bought	Egg incubator	1	
06/14/2017 11:30:54 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/14/2017 11:30:54 UTC	In-game item bought	Egg incubator	1	
06/14/2017 11:31:00 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/14/2017 11:31:00 UTC	In-game item bought	Egg incubator	1	
06/14/2017 11:31:02 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/14/2017 11:31:02 UTC	In-game item bought	Egg incubator	1	
06/17/2017 10:16:31 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/17/2017 10:16:31 UTC	In-game item bought	Egg incubator	1	
06/17/2017 10:16:34 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/17/2017 10:16:34 UTC	In-game item bought	Egg incubator	1	
06/17/2017 10:16:36 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/17/2017 10:16:36 UTC	In-game item bought	Egg incubator	1	
06/18/2017 19:11:21 UTC	Pokecoin spent for in-game item	POKECOIN		-625
06/18/2017 19:11:21 UTC	In-game item bought	Lucky egg	25	
06/19/2017 11:58:55 UTC	Pokecoin spent for in-game item	POKECOIN		-150
06/19/2017 11:58:55 UTC	In-game item bought	Egg incubator	1	
06/19/2017 12:14:52 UTC	Pokecoin spent for in-game item	POKECOIN		-625
06/19/2017 12:14:52 UTC	In-game item bought	Lucky egg	25	
06/23/2017 02:30:37 UTC	Pokecoin spent for in-game item	POKECOIN		-200
06/23/2017 02:30:37 UTC	In-game item bought	Bag upgrade	1	
06/23/2017 02:53:32 UTC	Pokecoin spent for in-game item	POKECOIN		-200
06/23/2017 02:53:33 UTC	In-game item bought	Bag upgrade	1	
06/23/2017 02:53:36 UTC	Pokecoin spent for in-game item	POKECOIN		-200
06/23/2017 02:53:36 UTC	In-game item bought	Bag upgrade	1	
06/23/2017 02:53:40 UTC	Pokecoin spent for in-game item	POKECOIN		-200
06/23/2017 02:53:40 UTC	In-game item bought	Bag upgrade	1	
